TCGA-A7-A13D-01A-13R-A12P-07	TCGA-E9-A1RH-11A-34R-A169-07
DRD2	27	62
DRD3	0	0
DRD4	61	16
DRD5	0	1
DRG1	3762	3671
DRG2	1291	1183
DRGX	1	0
DRICH1	5	3
DROSHA	7412	3156
DRP2	187	23
DSC1	9	12
DSC2	13442	2356
DSC3	163	1479
DSCAM	15	18
DSCAML1	3	64
DSCC1	1108	180
DSCR4	0	0
DSE	2728	5384
DSEL	153	1959
DSG1	10	158
DSG2	11913	6671
DSG3	878	888
DSG4	25	8
DSN1	1664	682
DSP	81956	10049
DSPP	1	0
DST	5900	31590
DSTN	31158	22049
DSTYK	2257	2251
DTD1	1248	448
DTD2	100	323
DTHD1	0	20
DTL	1132	142
DTNA	660	1076
DTNB	3742	504
DTNBP1	1345	943
DTWD1	583	1905
DTWD2	361	601
DTX1	507	3303
DTX2	977	519
DTX3	670	770
DTX3L	4890	3361
DTX4	2039	1961
DTYMK	2643	691
DUOX1	599	186
DUOX2	3	37
DUOXA1	28	22
DUOXA2	2	3
DUS1L	13479	2214
DUS2	662	395
DUS3L	612	386
DUS4L	222	171
DUSP1	4203	5107
DUSP10	817	276
DUSP11	1447	968
DUSP12	1384	575
DUSP13	1	1
DUSP14	1240	1099
DUSP15	72	44
DUSP16	3153	2426
DUSP18	150	161
DUSP19	56	287
DUSP2	596	81
DUSP21	0	0
DUSP22	1869	3993
DUSP23	2456	1004
DUSP26	4	8
DUSP28	119	140
DUSP3	3994	6382
DUSP4	292	7160
DUSP5	1076	696
DUSP6	1098	4391
DUSP7	2042	1608
DUSP8	820	110
DUSP9	862	5
DUT	1563	2295
DUXA	1	0
DVL1	5283	1818
DVL2	2505	1165
DVL3	5110	4330
DXO	450	288
DYDC1	1	0
DYDC2	15	29
DYM	2600	4004
DYNAP	2	1
DYNC1H1	24220	29966
DYNC1I1	236	161
DYNC1I2	5202	6565
DYNC1LI1	1736	1773
DYNC1LI2	4557	9790
DYNC2H1	352	3047
DYNC2LI1	724	917
DYNLL1	13279	7517
DYNLL2	6611	7678
DYNLRB1	644	306
DYNLRB2	4	31
DYNLT1	3955	2172
DYNLT3	2402	2276
DYRK1A	5450	4055
DYRK1B	1604	842
DYRK2	2777	1689
DYRK3	678	866
DYRK4	645	462
DYSF	3000	3293
DYTN	0	0
DZANK1	355	288
DZIP1	740	1028
DZIP1L	111	238
DZIP3	614	1545
E2F1	3625	138
E2F2	1140	49
E2F3	2672	597
E2F4	3617	2119
E2F5	1306	180
E2F6	684	608
E2F7	249	17
E2F8	524	18
E4F1	1079	594
EAF1	1025	1008
EAF2	95	109
EAPP	925	2149
EARS2	1702	1274
EBAG9	1142	1753
EBF1	430	12787
EBF2	192	2331
EBF3	101	2664
EBF4	290	278
EBI3	41	85
EBLN1	1	2
EBLN2	27	34
EBNA1BP2	5966	1673
EBP	1854	311
EBPL	2168	1007
ECD	1494	1561
ECE1	30184	19370
ECE2	0	0
ECEL1	14	42
ECH1	4729	7163
ECHDC1	1468	7971
ECHDC2	2274	4824
ECHDC3	1704	7992
ECHS1	9481	24487
ECI1	1443	1801
ECI2	201	1986
ECM1	2720	4965
ECM2	522	15044
ECSCR	48	181
ECSIT	1034	1616
ECT2	4223	594
ECT2L	17	24
EDA	56	341
EDA2R	133	342
EDAR	92	3
EDARADD	65	157
EDC3	1578	1235
EDC4	2256	1438
EDDM3A	0	1
EDDM3B	0	0
EDEM1	2575	3318
EDEM2	2180	1162
EDEM3	2308	4036
EDF1	10659	6532
EDIL3	3925	1193
EDN1	428	523
EDN2	1037	8
EDN3	43	92
EDNRA	1495	1375
EDNRB	70	3609
EDRF1	930	748
EEA1	999	4820
EED	934	929
EEF1A1	138751	384308
EEF1A2	23182	65
EEF1B2	7341	13761
EEF1D	4164	2664
EEF1E1	295	119
EEF1G	0	0
EEF2	90335	152799
EEF2K	1708	5790
EEF2KMT	312	239
EEFSEC	1223	813
EEPD1	804	3485
EFCAB11	178	352
EFCAB12	12	118
EFCAB13	35	157
EFCAB14	8844	14923
EFCAB2	140	522
EFCAB3	0	1
EFCAB5	13	14
EFCAB6	92	137
EFCAB7	258	362
EFCAB9	0	0
EFCC1	32	178
EFEMP1	20298	32143
EFEMP2	3273	5299
EFHB	20	36
EFHC1	374	1070
EFHC2	108	24
EFHD1	12518	3888
EFHD2	2034	1598
EFNA1	26487	1879
EFNA2	67	0
EFNA3	1748	69
EFNA4	4858	194
EFNA5	1939	1439
EFNB1	1780	3456
EFNB2	1677	1005
EFNB3	1029	183
EFR3A	6991	4960
EFR3B	4944	110
EFS	1806	1137
EFTUD2	7869	4219
EGF	68	296
EGFL6	349	45
EGFL7	2421	2244
EGFL8	18	49
EGFLAM	491	3501
EGFR	9262	18622
EGLN1	261	236
EGLN2	193	288
EGLN3	8982	481
EGR1	3417	3687
EGR2	782	270
EGR3	108	386
EGR4	5	1
EHBP1	4183	7330
EHBP1L1	4419	1702
EHD1	6115	4170
EHD2	9563	39675
EHD3	1433	877
EHD4	3718	3335
EHF	10140	3826
EHHADH	457	2250
EHMT1	2847	2496
EHMT2	3782	1552
EI24	6736	7202
EID1	5223	12883
EID2	994	604
EID2B	62	109
EID3	20	87
EIF1	53191	37754
EIF1AD	1277	1234
EIF1AX	3257	5881
EIF1AY	0	0
EIF1B	1097	2463
EIF2A	4507	6945
EIF2AK1	19379	6677
EIF2AK2	7053	5667
EIF2AK3	2278	1133
EIF2AK4	3841	4762
EIF2B1	1909	3159
EIF2B2	1191	943
EIF2B3	1919	2488
EIF2B4	2463	1648
EIF2B5	2356	2559
EIF2D	2636	4314
EIF2S1	3947	5147
EIF2S2	7015	3717
EIF2S3	20815	17066
EIF3A	22923	19321
EIF3B	38667	9570
EIF3C	375	672
EIF3CL	24	31
EIF3D	14066	10467
EIF3E	22479	21600
EIF3F	6358	10041
EIF3G	6201	5221
EIF3H	19221	12950
EIF3I	16210	8578
EIF3J	3627	3443
EIF3K	13635	9582
EIF3L	9653	12940
EIF3M	6142	5615
EIF4A1	100	57
EIF4A2	10749	29418
EIF4A3	11222	2648
EIF4B	12722	33444
EIF4E	1379	1665
EIF4E1B	2	0
EIF4E2	3319	2801
EIF4E3	736	5888
EIF4EBP1	3191	1993
EIF4EBP2	14762	42896
EIF4EBP3	13	25
EIF4ENIF1	1226	1458
EIF4G1	27757	15903
EIF4G2	46337	51884
EIF4G3	4143	5257
EIF4H	21123	12323
EIF5	4304	18357
EIF5A	27251	6678
EIF5A2	479	627
EIF5AL1	137	16
EIF5B	16608	9572
EIF6	4973	1549
ELAC1	189	357
ELAC2	4737	4572
ELANE	6	73
ELAVL1	5169	3101
ELAVL2	168	19
ELAVL3	1	2
ELAVL4	6	29
ELF1	3193	3533
ELF2	1178	2807
ELF3	12345	717
ELF4	3484	1335
ELF5	3555	813
ELFN1	179	111
ELFN2	102	15
ELK1	2895	1494
ELK3	2565	5703
ELK4	2401	4599
ELL	862	707
ELL2	1967	5108
ELL3	5	2
ELMO1	1421	2085
ELMO2	1965	1960
ELMO3	3150	200
ELMOD1	12	39
ELMOD2	1137	2311
ELMOD3	1015	8371
ELN	1557	8633
ELOF1	1688	1480
ELOVL1	7653	3854
ELOVL2	196	243
ELOVL3	28	696
ELOVL4	164	115
ELOVL5	2945	30298
ELOVL6	2170	1833
ELOVL7	298	981
ELP2	3110	5636
ELP3	845	2811
ELP4	436	760
ELP5	2467	1253
ELP6	845	979
ELSPBP1	0	0
EMB	272	2207
EMC1	5543	4477
EMC10	10413	1972
EMC2	3499	2632
EMC3	2629	7594
EMC4	1870	1667
EMC6	27	6
EMC7	2157	3028
EMC8	1260	866
EMC9	479	223
EMCN	471	4363
EMD	4793	2276
EME1	183	27
EME2	210	133
EMG1	2220	1251
EMID1	1033	169
EMILIN1	5399	2456
EMILIN2	545	3424
EMILIN3	12	41
EML1	1118	2515
EML2	3383	992
EML3	1175	2693
EML4	9785	2819
EML5	21	47
EML6	26	68
EMP1	21154	32728
EMP2	3004	7131
EMP3	1689	2301
EMX1	5	9
EMX2	48	377
EN1	318	213
EN2	40	25
ENAH	17292	7437
ENAM	0	2
ENC1	6759	2000
ENDOD1	3006	3504
ENDOG	58	39
ENDOU	1	53
ENDOV	1265	639
ENG	6705	10876
ENGASE	2171	908
ENHO	61	38
ENKD1	281	426
ENKUR	51	9
ENO1	138950	31940
ENO2	4349	814
ENO3	89	185
ENO4	13	22
ENOPH1	2098	1521
ENOSF1	1185	1508
ENOX1	153	515
ENOX2	1177	956
ENPEP	640	1511
ENPP1	3672	3676
ENPP2	560	16588
ENPP3	27	156
ENPP4	677	2596
ENPP5	873	414
ENPP6	318	64
ENPP7	0	1
ENSA	15004	8995
ENTHD1	218	2
ENTPD1	1197	1377
ENTPD2	32	218
ENTPD3	146	361
ENTPD4	1294	1495
ENTPD5	1014	1676
ENTPD6	4554	2062
ENTPD7	1408	480
ENTPD8	16	7
ENY2	5750	2446
EOGT	1212	2706
EOMES	44	47
EP300	5811	6983
EP400	2521	3214
EPAS1	8251	51193
EPB41	3281	3686
EPB41L1	8389	7403
EPB41L2	5883	18899
EPB41L3	228	3884
EPB41L4A	281	562
EPB41L4B	2111	8766
EPB41L5	2359	1795
EPB42	0	109
EPC1	2167	1667
EPC2	1488	2147
EPCAM	19468	1021
EPDR1	797	2751
EPG5	1938	2650
EPGN	31	1
EPHA1	1654	155
EPHA10	730	33
EPHA2	1783	1009
EPHA3	410	812
EPHA4	1851	1209
EPHA5	1	36
EPHA6	11	31
EPHA7	114	54
EPHA8	413	0
EPHB1	890	412
EPHB2	3023	750
EPHB3	7807	923
EPHB4	12548	3656
EPHB6	131	873
EPHX1	9345	27867
EPHX2	415	2658
EPHX3	123	29
EPHX4	299	25
EPM2A	172	1396
EPM2AIP1	1262	2415
EPN1	14115	3806
EPN2	1234	854
EPN3	1582	136
EPO	11	5
EPOR	197	253
EPPIN	0	0
EPPIN-WFDC6	0	0
EPPK1	2060	584
EPS15	3542	8211
EPS15L1	3373	1833
EPS8	2553	8093
EPS8L1	2511	154
EPS8L2	7906	934
EPS8L3	0	2
EPSTI1	1366	582
EPX	2	18
EPYC	127	2
EQTN	5	3
ERAL1	2041	1779
ERAP1	2600	7845
ERAP2	838	3839
ERAS	9	4
ERBB2	29349	3645
ERBB3	10140	1973
ERBB4	5	797
ERC1	3326	5756
ERC2	156	21
ERCC1	8836	1616
ERCC2	4369	810
ERCC3	3413	2651
ERCC4	365	791
ERCC5	71	136
ERCC6	1309	1181
ERCC6L	675	26
ERCC6L2	597	1489
ERCC8	257	814
EREG	13	3
ERF	3017	946
ERG	914	3317
ERGIC1	8530	12053
ERGIC2	1918	2456
ERGIC3	23502	8486
ERH	4258	2997
ERI1	965	928
ERI2	329	849
ERI3	5269	1885
ERICH1	523	648
ERICH2	138	65
ERICH3	2	69
ERICH4	9	29
ERICH5	7	15
ERICH6	5	2
ERICH6B	3	6
ERLEC1	3539	4569
ERLIN1	1664	3318
ERLIN2	1774	5707
ERMAP	606	1166
ERMARD	424	995
ERMN	427	7
ERMP1	1909	2186
ERN1	1688	1265
ERN2	0	15
ERP27	6303	60
ERP29	8510	4802
ERP44	4394	4487
ERRFI1	11347	3019
ERV3-1	585	1044
ERVFRD-1	0	59
ERVMER34-1	419	46
ERVV-1	0	0
ERVV-2	7	0
ERVW-1	5	21
ESAM	2224	4713
ESCO1	937	925
ESCO2	371	35
ESD	4345	7537
ESF1	1729	1322
ESM1	4424	51
ESPL1	1873	75
ESPN	982	89
ESPNL	30	11
ESR1	180	6426
ESR2	60	296
ESRP1	15088	773
ESRP2	2999	354
ESRRA	1083	793
ESRRB	13	15
ESRRG	296	152
ESX1	31	0
ESYT1	6185	34432
ESYT2	19500	14600
ESYT3	298	49
ETAA1	596	790
ETF1	6561	9620
ETFA	3731	10142
ETFB	1047	1396
ETFDH	855	4152
ETHE1	1467	495
ETNK1	2545	2515
ETNK2	389	328
ETNPPL	0	10
ETS1	7206	13338
ETS2	6078	4750
ETV1	513	575
ETV2	86	23
ETV3	7199	3283
ETV3L	7	11
ETV4	693	88
ETV5	1766	1276
ETV6	5562	2225
ETV7	370	56
EVA1A	1972	74
EVA1B	0	0
EVA1C	247	973
EVC	1307	2012
EVC2	164	618
EVI2A	93	183
EVI2B	127	605
EVI5	902	1986
EVI5L	972	817
EVL	2397	2615
EVPL	24442	194
EVPLL	9	6
EVX1	13	3
EVX2	0	1
EWSR1	17071	8132
EXD1	10	5
EXD2	1438	2143
EXD3	516	414
EXO1	2607	40
EXO5	384	121
EXOC1	1069	2166
EXOC2	2320	1892
EXOC3	5138	4241
EXOC3L1	317	243
EXOC3L2	315	318
EXOC3L4	21	16
EXOC4	7730	5571
EXOC5	3084	5434
EXOC6	470	931
EXOC6B	2545	3868
EXOC7	4995	4790
EXOC8	797	1061
EXOG	245	356
EXOSC1	779	876
EXOSC10	1971	2524
EXOSC2	1136	899
EXOSC3	700	526
EXOSC4	1470	255
EXOSC5	2494	480
EXOSC6	1421	1756
EXOSC7	1246	758
EXOSC8	996	895
EXOSC9	832	744
EXPH5	635	282
EXT1	6191	2979
EXT2	6208	7299
EXTL1	441	19
EXTL2	634	1282
EXTL3	2539	2537
EYA1	81	386
EYA2	1219	1454
EYA3	1555	1292
EYA4	6	122
EYS	6	160
EZH1	3355	7692
EZH2	2666	118
EZR	13196	3237
F10	40	1409
F11	0	0
F11R	16082	3972
F12	149	13
F13A1	1210	18159
F13B	0	0
F2	2	0
F2R	2425	1745
F2RL1	229	144
F2RL2	51	151
F2RL3	328	66
F3	2349	5077
F5	42	39
F7	2	38
F8	591	3941
F8A3	9	3
F9	0	0
FA2H	69	24
FAAH	1147	626
FAAH2	670	107
FAAP20	1577	1004
FAAP24	591	167
FABP1	0	1
FABP12	0	1
FABP2	0	0
FABP3	255	371
FABP4	28	295146
FABP5	2127	1515
FABP6	769	3
FABP7	36	474
FABP9	0	13
FADD	94	81
FADS1	1365	2425
FADS2	7458	2483
FADS3	1290	4270
FADS6	60	0
FAF1	3978	3046
FAF2	3478	3431
FAH	1537	11840
FAHD1	890	1244
FAHD2A	1860	1101
FAHD2B	540	559
FAIM	928	1003
FAIM2	42	247
FAM104A	1208	853
FAM104B	1032	561
FAM107A	141	3756
FAM107B	4217	6826
FAM110A	2838	293
FAM110B	801	912
FAM110C	812	115
FAM110D	45	593
FAM111A	925	1831
FAM111B	515	92
FAM114A1	5295	4877
FAM114A2	848	1530
FAM117A	523	1373
FAM117B	1530	883
FAM118A	1006	642
FAM118B	1653	788
FAM120A	11125	10640
FAM120AOS	1655	3974
FAM120B	1217	2969
FAM120C	848	1580
FAM124A	253	387
FAM124B	109	176
FAM131A	496	581
FAM131B	60	179
FAM131C	83	7
FAM133A	5	7
FAM133B	485	423
FAM135A	874	796
FAM135B	5	33
FAM136A	4831	1147
FAM13A	964	15596
FAM13B	488	2554
FAM13C	74	634
FAM149A	117	1704
FAM149B1	771	1779
FAM151A	8	12
FAM151B	35	93
FAM153A	4	12
FAM156A	41	35
FAM156B	11	14
FAM161A	141	331
FAM161B	200	466
FAM162A	4270	2260
FAM162B	23	255
FAM163A	15	4
FAM163B	4	3
FAM166A	0	9
FAM166B	12	257
FAM167A	102	50
FAM167B	162	194
FAM168A	4882	5118
FAM168B	12631	11583
FAM169A	23	51
FAM170A	2	0
FAM170B	0	2
FAM171A1	8620	2349
FAM171A2	549	154
FAM171B	717	999
FAM172A	990	3001
FAM174A	423	816
FAM174B	1141	787
FAM177A1	2159	1949
FAM177B	5	7
FAM178B	23	186
FAM180A	367	531
FAM180B	4	663
FAM181A	0	0
FAM181B	77	26
FAM184A	162	390
FAM184B	14	46
FAM185A	242	282
FAM186A	21	16
FAM186B	29	13
FAM187B	1	2
FAM193A	1343	1686
FAM193B	1141	1273
FAM199X	3870	4344
FAM200A	388	441
FAM200B	396	645
FAM204A	1412	2401
FAM205A	0	3
FAM209A	4	1
FAM209B	3	8
FAM20A	1481	974
FAM20B	4766	6380
FAM20C	6212	3551
FAM210A	1481	656
FAM210B	7274	8442
FAM216A	102	181
FAM216B	2	0
FAM217A	0	1
FAM217B	996	1384
FAM218A	56	41
FAM219A	2194	975
FAM219B	339	1136
FAM220A	1462	814
FAM221A	206	213
FAM221B	3	4
FAM222A	1030	90
FAM222B	8701	1261
FAM227A	287	49
FAM227B	88	110
FAM228A	3	66
FAM228B	108	322
FAM229A	85	58
FAM229B	252	648
FAM24A	1	0
FAM24B	137	36
FAM25A	0	0
FAM25C	0	0
FAM32A	4753	4111
FAM3A	3253	1547
FAM3B	86	199
FAM3C	4062	1564
FAM3D	6	40
FAM43A	597	1053
FAM43B	40	103
FAM47A	0	0
FAM47B	0	0
FAM47C	0	1
FAM47E	15	470
FAM47E-STBD1	0	2
FAM50A	5178	2839
FAM50B	333	539
FAM53A	86	70
FAM53B	3784	1993
FAM53C	1912	1866
FAM72B	96	14
FAM72D	51	7
FAM76A	984	1446
FAM76B	406	921
FAM78A	182	472
FAM78B	1327	171
FAM81A	149	56
FAM81B	1	4
FAM83A	92	14
FAM83B	913	89
FAM83C	2	0
FAM83D	2968	44
FAM83E	235	29
FAM83F	4181	639
FAM83G	1876	303
FAM83H	11396	757
FAM86B1	28	63
FAM86B2	4	6
FAM89A	290	3919
FAM89B	367	113
FAM8A1	1847	4997
FAM90A1	135	20
FAM91A1	6001	2662
FAM98A	5755	2750
FAM98B	2075	2300
FAM98C	739	379
FAM9A	0	0
FAM9B	0	0
FAM9C	0	1
FAN1	750	1972
FANCA	792	78
FANCB	246	32
FANCC	386	493
FANCD2	2143	224
FANCD2OS	8	0
FANCE	440	439
FANCF	805	568
FANCG	38	9
FANCI	2192	430
FANCL	787	533
FANCM	350	429
FANK1	379	97
FAP	1671	1583
FAR1	2524	3936
FAR2	1494	615
FARP1	6004	1802
FARP2	2802	1457
FARS2	814	807
FARSA	2633	1383
FARSB	3919	2140
FAS	532	703
FASLG	4	25
FASN	88760	120883
FASTK	4823	2183
FASTKD1	857	751
FASTKD2	1678	2839
FASTKD3	755	368
FASTKD5	1764	836
FAT1	24608	15226
FAT2	546	780
FAT3	23	219
FAT4	262	2868
FATE1	1	2
FAU	6726	8656
FAXC	523	149
FAXDC2	219	8114
FBF1	479	213
FBL	19714	3652
FBLIM1	5235	1583
FBLN1	19652	48536
FBLN2	6807	55763
FBLN5	539	20494
FBLN7	279	1508
FBN1	17836	66901
FBN2	272	61
FBN3	125	10
FBP1	89	637
FBP2	5	1
FBRS	3608	2438
FBRSL1	2887	1465
FBXL12	615	920
FBXL13	46	61
FBXL14	424	507
FBXL15	228	287
FBXL16	174	100
FBXL17	762	3809
FBXL18	1314	543
FBXL19	1396	274
FBXL2	488	427
FBXL20	1117	2501
FBXL22	45	66
FBXL3	1424	4310
FBXL4	848	2125
FBXL5	2708	17077
FBXL6	947	210
FBXL7	743	2402
FBXL8	103	114
FBXO10	265	244
FBXO11	2476	2742
FBXO15	42	41
FBXO16	69	17
FBXO17	849	1494
FBXO2	386	390
FBXO21	1893	2889
FBXO22	1205	1178
FBXO24	16	10
FBXO25	895	2333
FBXO27	399	1547
FBXO28	2924	3243
FBXO3	6818	3286
FBXO30	846	1311
FBXO31	1384	3064
FBXO32	10631	6867
FBXO33	567	1030
FBXO34	2249	1221
FBXO36	227	367
FBXO38	1529	2426
FBXO39	8	7
FBXO4	1116	765
FBXO40	0	14
FBXO41	1619	207
FBXO42	1855	1709
FBXO43	50	8
FBXO44	632	679
FBXO45	2306	1019
FBXO46	3564	564
FBXO47	0	1
FBXO48	233	339
FBXO5	595	241
FBXO6	555	583
FBXO7	4340	6324
FBXO8	698	1712
FBXO9	940	4214
FBXW10	9	4
FBXW11	2772	4169
FBXW12	23	2
FBXW2	2637	6554
FBXW4	2307	3967
FBXW5	4897	5248
FBXW7	1364	2289
FBXW8	760	840
FBXW9	476	175
FCAMR	6	1
FCAR	29	5
FCER1A	0	232
FCER1G	704	1687
FCER2	0	47
FCF1	2193	2951
FCGBP	258	902
FCGR1A	82	28
FCGR2A	364	1137
FCGR2B	140	1012
FCGR3A	1722	1145
FCGR3B	73	55
FCGRT	4597	12263
FCHO1	498	51
FCHO2	833	2768
FCHSD1	545	419
FCHSD2	1148	2451
FCN1	55	271
FCN2	6	170
FCN3	56	122
FCRL1	0	4
FCRL2	1	10
FCRL3	2	21
FCRL4	17	0
FCRL5	11	68
FCRL6	18	30
FCRLA	10	10
FCRLB	74	29
FDCSP	2816724	209
FDFT1	3340	7859
FDPS	4625	1373
FDX1	837	1118
FDXACB1	36	80
FDXR	1060	290
FECH	1214	1979
FEM1A	95	87
FEM1B	3778	5849
FEM1C	1266	2377
FEN1	2048	572
FER	992	2474
FER1L5	3	55
FER1L6	2	10
FERD3L	0	0
FERMT1	4364	167
FERMT2	3264	20630
FERMT3	564	776
FES	818	1296
FETUB	2	0
FEV	0	0
FEZ1	275	1044
FEZ2	2698	5635
FEZF1	1	0
FEZF2	0	4
FFAR1	4	0
FFAR2	20	212
FFAR3	0	11
FFAR4	1	1083
FGA	0	0
FGB	2	17
FGD1	664	243
FGD2	73	472
FGD3	311	300
FGD4	1034	2478
FGD5	744	4034
FGD6	1732	841
FGF1	1115	2091
FGF10	20	3445
FGF11	80	2
FGF12	111	259
FGF13	1936	1715
FGF14	82	172
FGF16	0	136
FGF17	3	8
FGF18	14	91
FGF19	1	1
FGF2	129	5898
FGF20	0	2
FGF21	27	0
FGF22	3	6
FGF23	2	0
FGF3	0	0
FGF4	0	0
FGF5	6	3
FGF6	0	0
FGF7	254	2321
FGF8	0	2
FGF9	11	111
FGFBP1	43	14
FGFBP2	81	1505
FGFBP3	56	57
FGFR1	2863	19086
FGFR1OP2	1220	2325
FGFR2	2562	1435
FGFR3	77	144
FGFR4	1649	149
FGFRL1	1266	5142
FGG	1	7
FGGY	538	489
FGL1	0	0
FGL2	197	7725
FGR	231	573
FH	6044	4567
FHAD1	208	31
FHDC1	2102	393
FHIT	243	382
FHL1	1362	100282
FHL2	5346	1907
FHL3	3207	605
FHL5	44	739
FHOD1	2248	1965
FHOD3	747	751
FIBCD1	93	8
FIBIN	585	1945
FIBP	2928	1669
FICD	214	519
FIG4	970	1592
FIGLA	0	3
FIGN	1407	1488
FIGNL1	1300	611
FIGNL2	13	11
FILIP1	88	568
FILIP1L	1551	2612
FIP1L1	764	627
FIS1	4411	4129
FITM1	7	12
FITM2	843	3536
FIZ1	1100	606
FJX1	588	164
FKBP10	30342	3801
FKBP11	1024	412
FKBP14	1675	1402
FKBP15	2636	3176
FKBP1A	19341	10041
FKBP1B	30	45
FKBP2	4	4
FKBP3	1161	1492
FKBP4	12708	3374
FKBP5	1973	27037
FKBP6	7	0
FKBP7	914	1414
FKBP8	10544	9875
FKBP9	11189	11877
FKBP9P1	154	147
FKBPL	409	249
FKRP	879	524
FKTN	987	1386
FLAD1	12934	1663
FLCN	1270	1584
FLG	33	83
FLG2	5	2
FLI1	582	3328
FLII	11053	9695
FLNA	117992	63974
FLNB	58814	15533
FLNC	1811	2557
FLOT1	6343	6808
FLOT2	7164	6171
FLRT1	66	11
FLRT2	598	2920
FLRT3	216	125
FLT1	3519	7199
FLT3	2	34
FLT3LG	4	5
FLT4	930	1615
FLVCR1	878	286
FLVCR2	467	236
FLYWCH1	2570	1636
FLYWCH2	2179	601
FMN1	476	613
FMN2	19	34
FMNL1	752	1158
FMNL2	4285	5184
FMNL3	2227	2444
FMO1	61	624
FMO2	131	18782
FMO3	68	229
FMO4	101	644
FMO5	84	527
FMOD	2072	29852
FMR1	1577	2943
FMR1NB	0	0
FN1	881953	56398
FN3K	1081	1047
FN3KRP	2855	2635
FNBP1	3301	2957
FNBP1L	7901	4806
FNBP4	2400	2902
FNDC1	4877	4378
FNDC3A	2254	5496
FNDC3B	9755	10071
FNDC4	512	1273
FNDC5	117	549
FNDC7	5	0
FNDC8	10	3
FNDC9	0	0
FNIP1	1303	3024
FNIP2	2377	5576
FNTA	2694	3217
FNTB	331	422
FOCAD	1893	2259
FOLH1	282	293
FOLH1B	1	4
FOLR1	171	182
FOLR2	28	4070
FOLR3	4	3
FOS	4267	5085
FOSB	777	440
FOSL1	519	44
FOSL2	12187	7106
FOXA1	489	1289
FOXA2	0	0
FOXA3	8	1
FOXB1	1	0
FOXB2	0	0
FOXC1	7165	769
FOXC2	78	55
FOXD1	83	1
FOXD2	38	49
FOXD3	2	2
FOXD4	10	9
FOXD4L1	4	2
FOXD4L4	0	1
FOXD4L5	0	3
FOXE1	5	8
FOXE3	4	0
FOXF1	46	24
FOXF2	172	140
FOXG1	44	0
FOXH1	11	3
FOXI1	59	159
FOXI2	6	38
FOXI3	20	4
FOXJ1	6	9
FOXJ2	2660	2855
FOXJ3	4329	4846
FOXK1	7915	2850
FOXK2	7802	1773
FOXL1	188	39
FOXL2	1	4
FOXL2NB	3	2
FOXM1	3582	98
FOXN1	4	8
FOXN2	1432	3209
FOXN3	1998	14375
FOXN4	1	26
FOXO1	1119	8065
FOXO3	3924	6518
FOXO4	1985	2534
FOXO6	495	37
FOXP1	1835	3351
FOXP2	50	911
FOXP3	24	42
FOXP4	4122	3367
FOXQ1	715	18
FOXR1	1	0
FOXR2	0	0
FOXRED1	2487	1250
FOXRED2	2167	1633
FOXS1	189	113
FPGS	3040	2533
FPGT	881	883
FPGT-TNNI3K	8	79
FPR1	198	117
FPR2	21	15
FPR3	639	869
FRA10AC1	627	2060
FRAS1	735	791
FRAT1	74	284
FRAT2	1055	478
FREM1	40	2298
FREM2	796	82
FREM3	0	1
FRG1	1138	1466
FRG2	0	0
FRG2B	0	0
FRG2C	0	1
FRK	2871	595
FRMD1	4	875
FRMD3	1832	1371
FRMD4A	3346	4976
FRMD4B	1021	1663
FRMD5	356	40
FRMD6	2809	6084
FRMD7	0	36
FRMD8	5183	1464
FRMPD1	21	156
FRMPD2	7	6
FRMPD3	49	21
FRMPD4	7	43
FRRS1	802	747
FRRS1L	9	6
FRS2	1378	3016
FRS3	212	309
FRY	868	3091
FRYL	1749	4934
FRZB	609	567
FSBP	275	205
FSCB	0	0
FSCN1	12365	2313
FSCN2	33	16
FSCN3	4	6
FSD1	34	0
FSD1L	247	257
FSD2	4	14
FSHB	0	0
FSHR	0	0
FSIP1	12	41
FSIP2	37	62
FST	989	1485
FSTL1	17181	78289
FSTL3	1704	2064
FSTL4	16	52
FSTL5	1	3
FTCD	46	5
FTH1	5155	2603
FTHL17	0	0
FTL	152768	189962
FTMT	0	0
FTO	2286	5658
FTSJ1	2912	1405
FTSJ3	7088	2866
FUBP1	7665	4396
FUBP3	2438	3304
FUCA1	429	3517
FUCA2	2554	2373
FUNDC1	775	598
FUNDC2	3096	4352
FUOM	588	315
FURIN	9229	6394
FUS	15699	5696
FUT1	863	341
FUT10	220	588
FUT11	1414	1341
FUT2	934	40
FUT3	602	8
FUT4	503	376
FUT5	1	0
FUT6	14	31
FUT7	4	3
FUT8	1034	1654
FUT9	192	21
FUZ	124	767
FXN	346	340
FXR1	7519	8442
FXR2	4563	2042
FXYD1	1	13
FXYD2	2	25
FXYD3	120	20
FXYD4	0	0
FXYD5	23483	3297
FXYD6	149	573
FXYD6-FXYD2	0	0
FXYD7	85	6
FYCO1	1742	9104
FYN	1890	4457
FYTTD1	5432	5630
FZD1	2384	2235
FZD10	29	36
FZD2	562	177
FZD3	411	318
FZD4	1082	36715
FZD5	452	1762
FZD6	5172	1794
FZD7	8012	3148
FZD8	4062	664
FZD9	192	75
FZR1	2748	1310
G0S2	138	21439
G2E3	1068	954
G3BP1	10812	9601
G3BP2	6721	6997
G6PC2	0	6
G6PC3	1605	2573
G6PD	3286	2694
GAA	19813	4236
GAB1	2428	2860
GAB2	1758	4499
GAB3	67	550
GAB4	2	0
